user,vaultId,poolId,block,lpvalue,lpvalueusd,positions
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x01dcdb35884888665a893da44489a79cec02e854,0x1dedec1c905f087ed4b521e96f81cc2e38b62327,5339627,12392495104964,0.09134924021730711,1
0xcd88431107b72b1a1aa13de27ab894e27c7d1a61,0x6f67080223add653e1584fc73596cad1269169ec,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5339736,16988904895036,0.11118241664960857,1
0x8df5f3e4a0688595b02768c37f32424365f36f26,0x9753ac312f15f27591407c73136bc7a3b161d6dd,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5447950,4275000000000000000,28643.61021807508,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xcbbe9dbafcbb0bf1da42195a8336ce2e9d36dae7,0x00551f0ee010f73c4760de6558019f15c2b222e5,5571698,301001397481172,1.9866149807042643,0
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7b2eb4046c9bb13a73c1d736c9a0e87d096e0a75,0xf2e9c024f1c0b7a2a4ea11243c2d86a7b38dd72f,5572228,292104702009388,1.9423063985923914,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x5b353677edb1ccf3ba39aed840b3f86bc1b6c6af,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5572376,293428952047841,1.9551095937975158,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x33cfa854933c20a95b573c021bc1c4634c57ed20,0xa1c6800788482ba0eeb85f47322bb789986ee2f3,5588446,200000,0.39702266474399994,3
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x875f0c2a2959ce6179058002525d7151c2098161,0x8c95c548b13387a1bea27fb69e0bd220f964d23f,5588964,93291387816216,0.6505559532658771,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x9ef1225833033a12bc2266755cf50067e47130bd,0x99a1e2143d630a760049854bb4d9ce4ca13c2c0d,5589148,20500000000000,0.13496398774695306,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0xf08f05eb8a07d01f31bc2b9d218969e89bdd11f9,0xec5b4a64e9c80014a5460f9d7a48c517383f9120,5589297,25389539002140,0.18250790671568734,1
0x307ba5c26af98658000debb07fa4df2564bdb1d9,0x7eb7a174dc75b6a96d0120258648c674ef8fa6ed,0x962e5982c1507af4ea5af2d6a25774f6e93b50d4,5761489,84165401847711,0.5835577944665675,3
